annee;nbre_de_prets;titre;auteur;editeur;indice;bib;cote;cat_1;cat_2
2020;67;L'amie prodigieuse. Saison 2 : le nouveau nom, intâegrale;Ferrante, Elena;-;Issy-les-Moulineaux : Studio Canal vidâeo, 2020;TV AMIE;CABANIS;TV AMIE;A
2020;86;Gaston Lagaffe;Martin-Laval, Pierre-Franðcois;-;Neuilly-sur-Seine : UGC Vidâeo, 2018;C GAST;CABANIS;C GAST;E
2020;91;Le vent se láeve;Miyazaki, Hayao;-;Marne-la-Vallâee : The Walt Disney Company, 2014;A VENT;CABANIS;Anim VENT;E
2020;102;Dilili áa Paris;Ocelot, Michel;-;Issy-les-Moulineaux : France Tâelâevisions Distribution, 2019;A DILI;CABANIS;Anim DILI;E
2019;120;Kirikou et les bãetes sauvages;Ocelot, Michel;-;Paris : France Tâelâevision Distribution [âed.], 2006;A KIRI;CABANIS;A KIRI;E
2019;136;L'ãage de glace 2;Saldanha, Carlos;-;U.S.A. : Twentieth Century Fox Home Entertainment, 2006;A AGED;CABANIS;Anim AGED;E
2019;139;Le Trãone de Fer. Saison 4, intâegrale;Benioff, David;-;[S.l.] Etats-Unis : Home Box Office, 2015;TV TRON;CABANIS;TV TRON;A
2019;139;Pirates des Caraèibes 2 : le secret du coffre maudit;Verbinski, Gore;-;[S.l.] : Walt Disney France, 2007;AV PIRA;CABANIS;AV PIRA;A
2017;192;Encore heureux;Graffin, Benoãit;Paris : EuropaCorp, 2016;C ENCO;CABANIS;C ENCO;A;DVDFIC
2017;155;Mission : Noèel : les aventures de la famille Noèel;Smith, Sarah;Suresnes : Sony Pictures Home Entertainment, 2012;A MISS;CABANIS;A MISS;E;DVDFIC
2019;122;Le labyrinthe : la terre brãulâee;Ball, Wes;-;Paris : 20th Century Fox, 2016;SF LABY;CABANIS;SF LABY;A
